TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;13;16/7/22;22:24;59;13;155;41;65439;577;4254;22:42;39;1610;0;247;20961;331;22:57;165;61;DIA;165;60;5984;0;23:54;5940;0;23;54;0;0;
202;13;16/7/22;22:44;60;13;155;41;65314;568;4246;23:3;38;1604;0;240;20922;330;23:18;62;197;DIA;61;196;5984;0;0:15;5984;0;0;15;0;0;
202;13;16/7/22;23:5;61;13;155;41;65403;566;4252;23:24;39;1613;0;245;20961;346;23:39;198;88;DIA;197;87;5720;0;0:35;5720;0;0;35;0;0;
202;13;16/7/22;23:26;62;13;155;41;65634;555;4267;23:44;38;1627;0;248;21037;326;23:59;89;220;DIA;88;220;5808;0;0:55;5852;0;0;55;0;0;
202;13;17/7/22;0:6;1;13;155;41;65546;559;4261;0:24;39;1605;0;270;20999;341;0:39;112;4;DIA;111;3;5808;0;1:35;5808;0;1;35;0;0;
202;13;17/7/22;0:26;2;13;155;41;65306;576;4245;0:44;39;1612;0;291;20922;347;0:59;5;132;DIA;4;132;5632;0;1:55;5676;0;1;55;0;0;
202;13;17/7/22;0:46;3;13;155;41;65406;548;4317;1:4;38;1608;0;294;20961;329;1:18;133;23;DIA;133;22;5720;0;2:15;5676;0;2;14;0;0;
202;13;17/7/22;1:6;4;13;155;41;65349;543;4248;1:24;38;1604;1;297;20922;346;1:38;24;150;DIA;23;150;5588;0;2:34;5632;0;2;34;0;0;
202;13;17/7/22;1:26;5;13;155;41;65318;568;4246;1:43;39;1609;0;268;20922;339;1:58;151;48;DIA;151;48;6028;0;2:55;6028;0;2;55;0;0;
202;13;17/7/22;1:46;6;13;155;41;65386;585;4316;2:2;39;1615;0;288;20961;363;2:18;49;184;DIA;49;183;5984;0;3:15;5940;0;3;15;0;0;
202;13;17/7/22;2:5;7;13;155;41;65302;565;4245;2:24;39;1606;0;309;20922;361;2:39;185;83;DIA;184;82;6072;0;3:36;6072;0;3;36;0;0;
202;13;17/7/22;2:26;8;13;155;41;65349;558;4248;2:44;40;1667;0;305;20922;343;3:0;84;215;DIA;83;214;5808;0;3:58;5808;0;3;58;0;0;
202;13;17/7/22;2:26;8;13;155;41;65349;558;4248;2:44;40;1667;0;305;20922;343;3:0;84;215;DIA;83;214;5808;0;3:58;5808;0;3;58;0;0;
202;13;17/7/22;2:47;9;13;155;41;65160;564;4236;3:5;38;1599;0;294;20884;328;3:20;216;115;DIA;215;115;6072;0;4:19;6116;0;4;19;0;0;
202;13;17/7/22;3:7;10;13;155;41;65231;579;4241;3:26;39;1609;0;272;20884;451;3:43;116;10;DIA;116;10;5896;0;4:40;5896;0;4;39;0;0;
202;13;17/7/22;3:28;11;13;155;41;65230;558;4241;3:49;38;1602;0;277;20884;315;4:3;11;148;DIA;11;147;6072;0;5:1;6028;0;5;0;0;0;
202;13;17/7/22;3:51;12;13;155;41;65405;554;4317;4:9;39;1602;0;274;20961;343;4:24;149;46;DIA;148;46;6028;0;5:21;6072;0;5;21;0;0;
202;13;17/7/22;4:12;13;13;155;41;65080;563;4231;4:30;39;1605;0;325;20846;359;4:45;47;185;DIA;47;184;6116;0;5:43;6072;0;5;42;0;0;
202;13;17/7/22;4:32;14;13;155;41;65255;565;4242;4:51;38;1601;0;305;20884;380;5:6;186;84;DIA;185;83;6072;0;6:4;6072;0;6;3;0;0;
202;13;17/7/22;4:53;15;13;155;41;65319;556;4246;5:11;42;1602;0;338;20922;359;5:27;85;217;DIA;84;217;5852;0;6:24;5896;0;6;24;0;0;
202;13;17/7/22;5:14;16;13;155;41;65245;557;4241;5:32;43;1598;0;332;20884;336;5:48;218;118;DIA;218;118;6160;0;6:45;6160;0;6;45;0;0;
202;13;17/7/22;5:35;17;13;155;41;65171;566;4237;5:53;44;1600;0;337;20884;337;6:9;119;15;DIA;119;15;5984;0;7:6;5984;0;7;6;0;0;
202;13;17/7/22;5:55;18;13;155;41;65603;554;4265;6:14;43;1598;0;323;20999;359;6:30;16;149;DIA;16;148;5896;0;7:26;5852;0;7;26;0;0;
202;13;17/7/22;6:17;19;13;155;41;65132;549;4234;6:35;43;1595;0;301;20846;344;6:50;150;43;DIA;149;43;5852;0;7:47;5896;0;7;46;0;0;
202;13;17/7/22;6:38;20;13;155;41;65342;548;4248;6:55;43;1601;0;303;20922;307;7:10;44;179;DIA;44;179;5984;0;8:7;5984;0;8;7;0;0;
202;13;17/7/22;6:58;21;13;155;41;65140;549;4235;7:16;43;1592;0;325;20846;343;7:31;180;74;DIA;180;74;5896;0;8:28;5896;0;8;28;0;0;
202;13;17/7/22;7:19;22;13;155;41;65234;550;4241;7:36;43;1598;0;322;20884;337;7:52;75;214;DIA;75;214;6160;0;8:49;6160;0;8;49;0;0;
202;13;17/7/22;7:39;23;13;155;41;65193;548;4238;7:57;42;1595;0;347;20884;347;8:13;215;105;DIA;215;105;5720;0;9:9;5720;0;9;9;0;0;
202;13;17/7/22;7:59;24;13;155;41;65676;548;4270;8:17;42;1596;1;344;21037;349;8:33;106;3;DIA;106;3;6028;0;9:30;6028;0;9;30;0;0;
202;13;17/7/22;8:20;25;13;155;41;65274;557;4243;8:38;43;1592;0;346;20922;346;8:53;4;142;DIA;4;142;6116;0;9:51;6116;0;9;51;0;0;
202;13;17/7/22;8:40;26;13;155;41;65216;558;4240;8:58;43;1594;0;324;20884;354;9:15;143;38;DIA;143;38;5940;0;10:11;5940;0;10;11;0;0;
202;13;17/7/22;9:1;27;13;155;41;65393;552;4251;9:19;43;1606;0;348;20961;354;9:35;39;172;DIA;39;171;5896;0;10:32;5852;0;10;32;0;0;
202;13;17/7/22;9:22;28;13;155;41;65400;566;4252;9:40;42;1603;0;332;20961;332;9:56;173;74;DIA;172;74;6204;0;10:53;6248;0;10;53;0;0;
202;13;17/7/22;9:22;28;13;155;41;65400;566;4252;9:40;42;1603;0;332;20961;332;9:56;173;74;DIA;172;74;6204;0;10:53;6248;0;10;53;0;0;
202;13;17/7/22;9:43;29;13;155;41;65075;574;4230;10:1;42;1597;0;300;20846;361;10:17;75;116;DIA;75;117;7172;0;13:5;7524;0;13;5;0;0;
202;13;17/7/22;11:50;30;13;155;41;65037;576;4228;12:5;42;1591;0;278;20846;278;12:28;117;221;DIA;118;221;4620;0;13:21;4576;0;13;21;0;0;
202;13;17/7/22;12:8;31;13;155;41;65126;563;4234;12:31;43;1594;0;325;20846;362;12:45;222;123;DIA;222;123;6204;0;13:43;6204;0;13;42;0;0;
202;13;17/7/22;12:34;32;13;155;41;64947;560;4222;12:50;43;1589;0;273;20807;351;13:6;124;19;DIA;124;19;5940;0;14:3;5940;0;14;3;0;0;
202;13;17/7/22;12:53;33;13;155;41;65414;552;4252;13:11;43;1595;0;277;20961;341;13:27;20;155;DIA;20;155;5984;0;14:24;5984;0;14;24;0;0;
202;13;17/7/22;13:14;34;13;155;41;65128;548;4234;13:32;42;1591;0;271;20846;326;13:48;156;52;DIA;156;52;5984;0;14:45;5984;0;14;44;0;0;
202;13;17/7/22;13:35;35;13;155;41;65424;559;4253;13:53;43;1598;0;280;20961;323;14:8;53;188;DIA;53;188;5984;0;15:5;5984;0;15;5;0;0;
202;13;17/7/22;13:55;36;13;155;41;65251;557;4242;14:13;42;1594;0;302;20884;328;14:29;189;87;DIA;189;86;6072;0;15:26;6028;0;15;26;0;0;
202;13;17/7/22;14:16;37;13;155;41;65398;550;4251;14:34;43;1597;0;323;20961;340;14:50;88;223;DIA;87;223;5984;0;15:47;6028;0;15;47;0;0;
202;13;17/7/22;14:37;38;13;155;41;65345;551;4248;14:55;43;1598;0;297;20922;354;15:11;224;120;DIA;224;120;5984;0;16:8;5984;0;16;7;0;0;
202;13;17/7/22;14:57;39;13;155;41;65260;566;4242;15:16;42;1592;0;283;20884;326;15:31;121;17;DIA;121;16;5984;0;16:28;5940;0;16;28;0;0;
202;13;17/7/22;15:18;40;13;155;41;65159;544;4236;15:36;42;1595;0;282;20884;341;15:52;18;150;DIA;17;150;5852;0;16:48;5896;0;16;48;0;0;
202;13;17/7/22;15:39;41;13;155;41;65392;543;4251;15:57;42;1598;0;238;20961;346;16:12;151;44;DIA;151;44;5852;0;17:9;5852;0;17;9;0;0;
202;13;17/7/22;15:59;42;13;155;41;65227;542;4306;16:17;42;1592;0;250;20884;322;16:33;45;180;DIA;45;180;5984;0;17:29;5984;0;17;29;0;0;
202;13;17/7/22;16:20;43;13;156;41;65162;556;4236;16:37;43;1591;0;249;20884;340;16:53;181;77;DIA;181;77;5984;0;17:50;5984;0;17;50;0;0;
202;13;17/7/22;16:40;44;13;156;41;65135;559;4234;16:58;43;1588;0;232;20846;355;17:14;78;213;DIA;78;213;5984;0;18:11;5984;0;18;10;0;0;
202;13;17/7/22;17:1;45;13;156;41;64909;568;4220;17:19;42;1587;0;266;20807;340;17:34;214;110;DIA;214;110;5984;0;18:31;5984;0;18;31;0;0;
202;13;17/7/22;17:21;46;13;156;41;65175;545;4237;17:40;42;1598;0;267;20884;357;17:55;111;5;DIA;111;5;5896;0;18:52;5896;0;18;52;0;0;
202;13;17/7/22;17:42;47;13;156;41;65349;546;4248;18:0;42;1594;0;232;20922;327;18:15;6;141;DIA;6;141;5984;0;19:12;5984;0;19;12;0;0;
202;13;17/7/22;18:3;48;13;156;41;65233;558;4241;18:21;42;1592;0;220;20884;349;18:36;142;42;DIA;142;42;6160;0;19:34;6160;0;19;33;0;0;
202;13;17/7/22;18:23;49;13;156;41;65303;568;4245;18:41;42;1597;0;219;20922;360;18:57;43;177;DIA;43;177;5940;0;19:54;5940;0;19;54;0;0;
202;13;17/7/22;18:44;50;13;156;41;65216;551;4240;19:3;42;1593;0;221;20884;263;19:18;178;75;DIA;178;75;6028;0;20:15;6028;0;20;15;0;0;
202;13;17/7/22;19:5;51;13;156;41;66725;560;4338;19:23;43;1637;0;221;21382;269;19:39;76;215;DIA;76;215;6160;0;20:36;6160;0;20;36;0;0;
