TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;1;26/8/22;23:14;72;1;278;38;65767;820;3947;23:33;59;2043;61;272;18453;350;23:42;80;207;DIL;81;207;5588;0;0:0;5588;0;0;0;0;0;
202;1;26/8/22;23:14;72;1;278;38;65767;820;3947;23:33;59;2043;61;272;18453;350;23:42;80;207;DIL;81;207;5588;0;0:0;5588;0;0;0;0;0;
202;1;26/8/22;23:35;73;1;278;38;65292;567;3918;23:49;59;2030;61;286;18290;350;0:0;208;101;DIL;208;101;5896;0;0:0;5852;0;0;0;0;0;
202;1;26/8/22;23:35;73;1;278;38;65292;567;3918;23:49;59;2030;61;286;18290;350;0:0;208;101;DIL;208;101;5896;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;0:6;1;1;278;38;65137;804;3909;0:24;59;2020;61;274;18249;350;0:36;235;130;DIL;235;130;5940;44;0:0;5896;44;0;0;0;0;
202;1;27/8/22;0:6;1;1;278;38;65137;804;3909;0:24;59;2020;61;274;18249;350;0:36;235;130;DIL;235;130;5940;44;0:0;5896;44;0;0;0;0;
202;1;27/8/22;0:26;2;1;278;38;65465;562;3928;0:40;59;2031;61;252;18331;350;0:55;130;25;DIL;130;25;5940;65492;0:0;5984;0;0;0;0;0;
202;1;27/8/22;0:42;3;1;278;38;65243;778;3915;1:0;58;2026;62;253;18290;350;1:13;26;162;DIL;26;162;6028;0;0:0;5984;0;0;0;0;0;
202;1;27/8/22;0:42;3;1;278;38;65243;778;3915;1:0;58;2026;62;253;18290;350;1:13;26;162;DIL;26;162;6028;0;0:0;5984;0;1;46;0;0;
202;1;27/8/22;1:2;4;1;278;38;65344;538;3921;1:16;59;2025;61;258;18331;350;1:32;163;57;DIL;163;57;5896;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;1:2;4;1;278;38;65344;538;3921;1:16;59;2025;61;258;18331;350;1:32;163;57;DIL;163;57;5896;0;2:7;5896;0;0;0;0;0;
202;1;27/8/22;1:18;5;1;278;38;65803;481;3949;1:35;60;2038;60;252;18453;350;1:51;58;194;DIL;58;194;5984;0;0:0;6028;0;0;0;0;0;
202;1;27/8/22;1:37;6;1;278;38;65339;728;3790;1:54;59;2032;61;251;18331;350;2:10;195;94;DIL;195;94;6160;0;0:0;6116;0;0;0;0;0;
202;1;27/8/22;1:37;6;1;278;38;65339;728;3790;1:54;59;2032;61;251;18331;350;2:10;195;94;DIL;195;94;6160;0;0:0;6116;0;0;0;0;0;
202;1;27/8/22;1:56;7;1;278;38;65950;499;3957;2:13;60;2046;60;261;18494;350;2:29;95;232;DIL;95;232;6028;0;0:0;6072;0;0;0;0;0;
202;1;27/8/22;2:15;8;1;278;38;65586;551;3936;2:32;60;2035;60;260;18372;350;2:48;233;133;DIL;233;133;6160;44;0:0;6116;44;0;0;0;0;
202;1;27/8/22;2:15;8;1;278;38;65586;551;3936;2:32;60;2035;60;260;18372;350;2:48;233;133;DIL;233;133;6160;44;0:0;6116;44;0;0;0;0;
202;1;27/8/22;2:34;9;1;278;38;65546;540;3933;2:51;59;2044;61;264;18372;350;3:7;133;34;DIL;133;34;6204;65492;0:0;6204;0;0;0;0;0;
202;1;27/8/22;2:54;10;1;278;38;65993;527;3960;3:11;59;2045;61;266;18494;350;3:27;35;171;DIL;35;171;6028;0;0:0;6028;0;0;0;0;0;
202;1;27/8/22;2:54;10;1;278;38;65993;527;3960;3:11;59;2045;61;266;18494;350;3:27;35;171;DIL;35;171;6028;0;0:0;6028;0;0;0;0;0;
202;1;27/8/22;3:13;11;1;278;38;65972;533;3893;3:30;60;2051;60;254;18494;350;3:46;172;66;DIL;172;66;5896;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;3:13;11;1;278;38;65972;533;3893;3:30;60;2051;60;254;18494;350;3:46;172;66;DIL;172;66;5896;0;4:19;5896;0;0;0;0;0;
202;1;27/8/22;3:32;12;1;278;38;66008;499;3961;3:49;60;2051;60;261;18494;350;4:4;67;198;DIL;67;198;5720;44;0:0;5764;44;0;0;0;0;
202;1;27/8/22;3:51;13;1;278;38;65985;522;3960;4:7;59;2044;61;269;18494;350;4:22;198;93;DIL;198;93;5984;65492;0:0;5940;0;0;0;0;0;
202;1;27/8/22;3:51;13;1;278;38;65985;522;3960;4:7;59;2044;61;269;18494;350;4:22;198;93;DIL;198;93;5984;65492;0:0;5940;0;0;0;0;0;
202;1;27/8/22;4:9;14;1;278;38;65871;468;4019;4:26;59;2042;61;274;18453;350;4:41;94;227;DIL;94;227;5852;0;0:0;5852;44;0;0;0;0;
202;1;27/8/22;4:28;15;1;278;38;65675;451;3941;4:44;59;2040;61;286;18412;350;5:0;228;120;DIL;227;120;5808;44;0:0;5808;44;0;0;0;0;
202;1;27/8/22;4:28;15;1;278;38;65675;451;3941;4:44;59;2040;61;286;18412;350;5:0;228;120;DIL;227;120;5808;44;0:0;5808;44;0;0;0;0;
202;1;27/8/22;4:46;16;1;278;38;65516;494;3931;5:3;60;2039;60;288;18372;350;5:18;120;12;DIL;120;12;5808;65492;0:0;5852;0;0;0;0;0;
202;1;27/8/22;5:5;17;1;278;38;65492;450;3930;5:21;59;2036;61;294;18372;350;5:36;13;143;DIL;13;143;5764;0;0:0;5720;0;0;0;0;0;
202;1;27/8/22;5:5;17;1;278;38;65492;450;3930;5:21;59;2036;61;294;18372;350;5:36;13;143;DIL;13;143;5764;0;0:0;5720;0;0;0;0;0;
202;1;27/8/22;5:23;18;1;278;38;65999;451;3894;5:39;60;2051;60;307;18494;350;5:54;144;38;DIL;144;38;5852;44;0:0;5852;44;0;0;0;0;
202;1;27/8/22;5:41;19;1;278;38;65649;475;4005;5:57;59;2040;61;303;18412;350;6:12;38;170;DIL;38;170;5808;0;0:0;5808;44;0;0;0;0;
202;1;27/8/22;5:41;19;1;278;38;65649;475;4005;5:57;59;2040;61;303;18412;350;6:12;38;170;DIL;38;170;5808;0;0:0;5808;44;0;0;0;0;
202;1;27/8/22;5:59;20;1;278;38;65655;470;4006;6:15;59;2033;61;305;18412;350;6:31;170;60;DIL;170;60;5720;65492;0:0;5720;0;0;0;0;0;
202;1;27/8/22;5:59;20;1;278;38;65655;470;4006;6:15;59;2033;61;305;18412;350;6:31;170;60;DIL;170;60;5720;65492;7:4;5720;0;0;0;0;0;
202;1;27/8/22;6:17;21;1;278;38;65710;481;4009;6:34;60;2037;60;300;18412;336;6:48;61;189;DIL;61;189;5632;0;0:0;5676;0;0;0;0;0;
202;1;27/8/22;6:36;22;1;278;38;65681;482;3941;6:52;60;2040;60;281;18412;320;7:6;190;78;DIL;190;78;5632;44;0:0;5588;44;0;0;0;0;
202;1;27/8/22;6:36;22;1;278;38;65681;482;3941;6:52;60;2040;60;281;18412;320;7:6;190;78;DIL;190;78;5632;44;0:0;5588;44;0;0;0;0;
202;1;27/8/22;6:54;23;1;278;38;65328;550;3920;7:9;59;2027;61;265;18331;320;7:24;78;208;DIL;78;208;5676;0;0:0;5720;44;0;0;0;0;
202;1;27/8/22;7:11;24;1;278;38;65638;530;3939;7:27;59;2037;61;262;18412;320;7:43;208;99;DIL;208;99;5808;65492;0:0;5764;0;0;0;0;0;
202;1;27/8/22;7:11;24;1;278;38;65638;530;3939;7:27;59;2037;61;262;18412;320;7:43;208;99;DIL;208;99;5808;65492;0:0;5764;0;0;0;0;0;
202;1;27/8/22;7:29;25;1;278;38;65141;738;3844;7:47;59;2031;61;257;18249;320;8:2;100;229;DIL;100;230;5676;0;0:0;5720;44;0;0;0;0;
202;1;27/8/22;7:49;26;1;278;38;66040;471;3963;8:5;60;2047;60;269;18494;320;8:20;230;123;DIL;230;123;5896;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;7:49;26;1;278;38;66040;471;3963;8:5;60;2047;60;269;18494;320;8:20;230;123;DIL;230;123;5896;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;7:49;26;1;278;38;66040;471;3963;8:5;60;2047;60;269;18494;320;8:20;230;123;DIL;230;123;5896;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;8:7;27;1;278;38;65649;495;3939;8:23;59;2036;61;266;18412;320;8:39;124;17;DIL;124;17;5852;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;8:25;28;1;278;38;65536;481;3998;8:42;59;2036;61;263;18372;320;8:58;18;151;DIL;18;151;5896;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;8:25;28;1;278;38;65536;481;3998;8:42;59;2036;61;263;18372;320;8:58;18;151;DIL;18;151;5896;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;8:44;29;1;278;38;65447;525;3993;9:2;59;2035;61;249;18331;320;9:17;152;45;DIL;152;45;5852;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;8:44;29;1;278;38;65447;525;3993;9:2;59;2035;61;249;18331;320;9:17;152;45;DIL;152;45;5852;0;9:55;5852;0;0;0;0;0;
202;1;27/8/22;9:4;30;1;278;38;65569;562;4066;9:21;59;2031;61;252;18372;320;9:36;46;178;DIL;46;179;5852;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;9:23;31;1;278;38;65677;565;3941;9:40;59;2036;61;264;18412;320;9:56;180;71;DIL;180;71;5764;44;0:0;5720;44;0;0;0;0;
202;1;27/8/22;9:42;32;1;278;38;65361;548;3922;9:59;59;2028;61;255;18331;320;10:14;71;204;DIL;71;204;5808;0;0:0;5852;44;0;0;0;0;
202;1;27/8/22;10:1;33;1;278;38;65350;550;3922;10:18;59;2029;61;248;18331;320;10:33;204;96;DIL;204;96;5852;65492;0:0;5808;0;0;0;0;0;
202;1;27/8/22;10:1;33;1;278;38;65350;550;3922;10:18;59;2029;61;248;18331;320;10:33;204;96;DIL;204;96;5852;65492;0:0;5808;0;0;0;0;0;
202;1;27/8/22;10:20;34;1;278;38;65502;511;3931;10:36;59;2032;61;239;18372;320;10:52;97;228;DIL;97;228;5720;44;0:0;5764;44;0;0;0;0;
202;1;27/8/22;10:38;35;1;278;38;65580;534;3935;10:55;59;2044;61;241;18372;320;11:11;228;122;DIL;228;122;5940;65492;0:0;5896;0;0;0;0;0;
202;1;27/8/22;10:38;35;1;278;38;65580;534;3935;10:55;59;2044;61;241;18372;320;11:11;228;122;DIL;228;122;5940;65492;0:0;5896;0;0;0;0;0;
202;1;27/8/22;10:38;35;1;278;38;65580;534;3935;10:55;59;2044;61;241;18372;320;11:11;228;122;DIL;228;122;5940;65492;0:0;5896;0;0;0;0;0;
202;1;27/8/22;10:57;36;1;278;38;65858;526;3952;11:14;59;2051;61;272;18453;320;11:30;123;15;DIL;123;15;5808;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;11:16;37;1;278;38;65774;537;3947;11:33;59;2040;61;282;18453;320;11:49;16;148;DIL;16;148;5852;0;0:0;5808;0;0;0;0;0;
202;1;27/8/22;11:16;37;1;278;38;65774;537;3947;11:33;59;2040;61;282;18453;320;11:49;16;148;DIL;16;148;5852;0;0:0;5808;0;0;0;0;0;
202;1;27/8/22;11:35;38;1;278;38;65121;883;3908;11:54;59;2017;61;222;18249;320;12:8;149;42;DIL;149;42;5852;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;11:57;39;1;278;38;65226;558;3914;12:11;59;2033;61;225;18290;320;12:27;43;176;DIL;43;176;5852;44;0:0;5852;44;0;0;0;0;
202;1;27/8/22;11:57;39;1;278;38;65226;558;3914;12:11;59;2033;61;225;18290;320;12:27;43;176;DIL;43;176;5852;44;0:0;5852;44;0;0;0;0;
202;1;27/8/22;12:13;40;1;278;38;65453;669;3928;12:30;59;2036;61;246;18331;320;12:46;176;68;DIL;176;68;5808;65492;13:20;5808;0;0;0;0;0;
202;1;27/8/22;12:32;41;1;278;38;65469;548;3929;12:49;59;2029;61;263;18331;320;13:5;69;202;DIL;69;202;5852;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;12:51;42;1;278;38;65261;917;3981;13:11;59;2034;61;253;18290;320;13:24;203;94;DIL;203;94;5808;0;0:0;5764;0;0;0;0;0;
202;1;27/8/22;12:51;42;1;278;38;65261;917;3981;13:11;59;2034;61;253;18290;320;13:24;203;94;DIL;203;94;5808;0;0:0;5764;0;0;0;0;0;
202;1;27/8/22;13:13;43;1;278;38;64550;608;3874;13:28;58;2005;62;230;18086;320;13:43;95;228;DIL;95;228;5852;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;13:30;44;1;278;38;65350;636;3922;13:46;59;2029;61;224;18331;320;14:2;229;119;DIL;229;119;5764;0;0:0;5720;0;0;0;0;0;
202;1;27/8/22;13:30;44;1;278;38;65350;636;3922;13:46;59;2029;61;224;18331;320;14:2;229;119;DIL;229;119;5764;0;0:0;5720;0;0;0;0;0;
202;1;27/8/22;13:48;45;1;278;38;65848;528;4017;14:5;59;2038;61;213;18453;320;14:21;120;13;DIL;120;13;5852;0;0:0;5896;0;0;0;0;0;
202;1;27/8/22;14:7;46;1;278;38;65018;622;3902;14:24;59;2017;61;206;18209;320;14:40;14;143;DIL;14;144;5720;0;0:0;5676;44;0;0;0;0;
202;1;27/8/22;14:7;46;1;278;38;65018;622;3902;14:24;59;2017;61;206;18209;320;14:40;14;143;DIL;14;144;5720;0;0:0;5676;44;0;0;0;0;
202;1;27/8/22;14:26;47;1;278;38;65936;540;3957;14:43;59;2048;61;207;18494;320;14:58;144;37;DIL;144;37;5852;0;0:0;5852;0;0;0;0;0;
202;1;27/8/22;14:45;48;1;278;38;65030;872;3902;15:4;59;2020;61;203;18209;320;15:17;38;170;DIL;38;170;5852;0;0:0;5852;0;0;0;0;0;
