TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;11/4/22;22:16;64;14;88;55;61273;622;4902;22:34;0;0;0;672;30644;672;22:53;107;207;DIZ;106;207;4444;0;23:59;4488;0;23;59;0;
202;14;11/4/22;22:36;65;14;88;55;61766;631;5004;22:55;0;0;0;652;30884;652;23:13;208;79;DIZ;208;79;4708;44;0:21;4708;44;0;21;0;
202;14;11/4/22;22:57;66;14;88;55;61387;614;4911;23:15;0;0;0;639;30701;639;23:35;79;187;DIZ;79;187;4796;0;0:42;4796;0;0;42;0;
202;14;11/4/22;22:57;66;14;88;55;61387;614;4911;23:15;0;0;0;639;30701;639;23:35;79;187;DIZ;79;187;4796;0;0:42;4796;0;0;42;0;
202;14;11/4/22;22:57;66;14;88;55;61387;614;4911;23:15;0;0;0;639;30701;639;23:35;79;187;DIZ;79;187;4796;0;0:42;4796;0;0;42;0;
202;14;11/4/22;22:57;66;14;88;55;61387;614;4911;23:15;0;0;0;639;30701;639;23:35;79;187;DIZ;79;187;4796;0;0:42;4796;0;0;42;0;
202;14;11/4/22;23:17;67;14;88;55;61243;616;4900;23:37;0;0;0;651;30624;651;23:56;188;52;DIZ;188;52;4444;0;1:3;4444;0;1;3;0;
202;14;12/4/22;0:0;1;14;88;55;61184;625;4895;0:19;0;0;0;660;30596;660;0:38;159;21;DIZ;159;21;4400;0;1:44;4400;0;1;44;0;
202;14;12/4/22;0:0;1;14;88;55;61184;625;4895;0:19;0;0;0;660;30596;660;0:38;159;21;DIZ;159;21;4400;0;1:44;4400;0;1;44;0;
202;14;12/4/22;0:20;2;14;88;55;61096;605;4949;0:40;0;0;0;624;30548;624;0:58;22;120;DIZ;22;120;4312;0;2:4;4312;0;2;3;0;
202;14;12/4/22;0:20;2;14;88;55;61096;605;4949;0:40;0;0;0;624;30548;624;0:58;22;120;DIZ;22;120;4312;0;2:4;4312;0;2;3;0;
202;14;12/4/22;0:42;3;14;88;55;60637;615;4852;1:0;0;0;0;594;30327;594;1:17;121;223;DIZ;121;223;4444;0;2:24;4488;44;2;24;0;
202;14;12/4/22;1:2;4;14;88;55;60327;617;4827;1:19;0;0;0;599;30163;599;1:38;224;96;DIZ;223;96;4884;0;2:46;4840;0;2;45;0;
202;14;12/4/22;1:2;4;14;88;55;60327;617;4827;1:19;0;0;0;599;30163;599;1:38;224;96;DIZ;223;96;4884;0;2:46;4840;0;2;45;0;
202;14;12/4/22;1:21;5;14;88;55;62042;616;5026;1:40;0;0;0;717;31028;717;2:0;97;227;DIZ;97;227;4664;352;6:9;6160;352;6;9;0;
202;14;12/4/22;1:21;5;14;88;55;62042;616;5026;1:40;0;0;0;717;31028;717;2:0;97;227;DIZ;97;227;4664;352;6:9;6160;352;6;9;0;
202;14;12/4/22;1:21;5;14;88;55;62042;616;5026;1:40;0;0;0;717;31028;717;2:0;97;227;DIZ;97;227;4664;352;6:9;6160;352;6;9;0;
202;14;12/4/22;4:5;6;14;88;55;60855;627;4930;4:19;0;0;0;1192;30432;1192;5:26;21;108;DIZ;18;108;3740;0;6:33;3872;44;6;33;0;
202;14;12/4/22;4:21;7;14;88;55;60418;625;4894;5:28;0;0;0;822;30211;822;5:46;109;204;DIZ;109;210;4224;0;6:52;4488;0;6;53;0;
202;14;12/4/22;4:21;7;14;88;55;60418;625;4894;5:28;0;0;0;822;30211;822;5:46;109;204;DIZ;109;210;4224;0;6:52;4488;0;6;53;0;
202;14;12/4/22;5:30;8;14;88;55;61508;621;4921;5:48;0;0;0;774;30759;774;6:6;212;71;DIZ;211;71;4312;0;7:13;4312;0;7;13;0;
202;14;12/4/22;5:50;9;14;88;55;61593;613;4990;6:8;0;0;0;766;30797;766;6:27;72;175;DIZ;72;177;4576;0;7:33;4664;0;7;33;0;
202;14;12/4/22;5:50;9;14;88;55;61593;613;4990;6:8;0;0;0;766;30797;766;6:27;72;175;DIZ;72;177;4576;0;7:33;4664;0;7;33;0;
202;14;12/4/22;6:31;11;14;88;55;61752;613;5002;6:50;0;0;0;757;30884;757;7:8;46;149;DIZ;45;153;4576;0;8:15;4796;0;8;16;0;
202;14;12/4/22;6:52;12;14;88;55;61787;611;5005;7:10;0;0;0;776;30894;776;7:30;155;17;DIZ;154;30;4488;0;8:36;5060;0;8;38;0;
202;14;12/4/22;7:12;13;14;88;55;61307;613;4966;7:32;0;0;0;885;30653;885;7:53;32;133;DIZ;31;161;4488;0;8:58;5720;0;9;4;0;
202;14;12/4/22;7:12;13;14;88;55;61307;613;4966;7:32;0;0;0;885;30653;885;7:53;32;133;DIZ;31;161;4488;0;8:58;5720;0;9;4;0;
202;14;12/4/22;8:13;14;14;88;41;66236;659;4372;8:27;0;0;0;636;21198;636;9:14;208;59;DIA;207;59;3960;0;10:17;3960;0;10;17;0;
202;14;12/4/22;8:29;15;14;88;41;67077;658;4428;9:16;0;0;0;589;21467;823;9:32;60;175;DIA;60;175;5104;0;10:41;5104;0;10;41;0;
202;14;12/4/22;8:29;15;14;88;41;67077;658;4428;9:16;0;0;0;589;21467;823;9:32;60;175;DIA;60;175;5104;0;10:41;5104;0;10;41;0;
202;14;12/4/22;9:18;16;14;88;41;66032;653;4359;9:34;0;0;0;557;21130;557;9:54;176;56;DIA;176;56;5192;44;11:4;5192;0;11;4;0;
202;14;12/4/22;9:36;17;14;88;41;66888;659;4348;9:56;0;0;0;603;21409;603;10:18;56;173;DIA;57;173;5192;0;11:26;5148;0;11;26;0;
202;14;12/4/22;9:36;17;14;88;41;66888;659;4348;9:56;0;0;0;603;21409;603;10:18;56;173;DIA;57;173;5192;0;11:26;5148;0;11;26;0;
202;14;12/4/22;9:58;18;14;88;41;65926;650;4286;10:20;0;0;0;512;21102;541;10:41;174;48;DIA;174;48;4972;0;11:47;4928;0;11;47;0;
202;14;12/4/22;10:22;19;14;88;41;65959;643;4354;10:43;0;0;0;542;21111;542;11:4;49;170;DIA;49;170;5368;0;12:10;5368;0;12;9;0;
202;14;12/4/22;10:22;19;14;88;41;65959;643;4354;10:43;0;0;0;542;21111;542;11:4;49;170;DIA;49;170;5368;0;12:10;5368;0;12;9;0;
202;14;12/4/22;10:45;20;14;88;41;66657;645;4333;11:6;0;0;0;517;21332;517;11:26;171;50;DIA;171;50;5192;0;12:31;5148;0;12;31;0;
202;14;12/4/22;11:8;21;14;88;41;65825;650;4279;11:29;0;0;0;455;21073;484;11:48;51;175;DIA;51;175;5500;0;12:54;5500;0;12;54;0;
202;14;12/4/22;11:8;21;14;88;41;65825;650;4279;11:29;0;0;0;455;21073;484;11:48;51;175;DIA;51;175;5500;0;12:54;5500;0;12;54;0;
