TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;9/7/22;22:53;56;14;159;69;62836;612;0;23:8;0;0;0;794;29080;794;23:24;108;219;OIA;107;226;4928;0;0:11;5280;0;0;12;0;
202;14;9/7/22;23:11;57;14;159;69;63162;621;0;23:26;0;0;0;799;29230;799;23:42;1;114;OIA;1;120;5016;0;0:29;5280;0;0;29;0;
202;14;9/7/22;23:29;58;14;159;69;62793;581;0;23:44;0;0;0;794;29060;794;0:0;135;1;OIA;135;5;4664;0;0:46;4840;0;0;46;0;
202;14;10/7/22;0:13;1;14;159;69;63141;577;0;0:22;0;0;0;798;29220;798;0:38;179;41;OIA;179;47;4488;0;1:24;4752;0;1;24;0;
202;14;10/7/22;0:25;2;14;159;69;63309;583;0;0:40;0;0;0;801;29300;801;1:4;133;236;OIA;133;2;4576;0;1:50;4796;0;1;50;0;
202;14;10/7/22;0:43;3;14;159;69;63289;583;0;1:6;0;0;0;800;29290;800;1:22;23;126;OIA;23;132;4576;0;2:8;4840;0;2;9;0;
202;14;10/7/22;1:9;4;14;159;69;63068;587;0;1:24;0;0;0;798;29190;798;1:40;157;23;OIA;157;31;4664;0;2:29;5016;0;2;30;0;
202;14;10/7/22;1:27;5;14;159;69;63387;579;0;1:42;0;0;0;802;29330;806;1:58;52;153;OIA;52;167;4488;0;2:48;5104;0;2;50;0;
202;14;10/7/22;1:44;6;14;159;69;63305;585;0;2:0;0;0;0;800;29300;800;2:36;66;171;OIA;66;177;4664;0;3:27;4928;0;3;27;0;
202;14;10/7/22;2:2;7;14;159;69;63026;584;0;2:38;0;0;0;797;29170;797;2:54;184;50;OIA;184;58;4664;0;3:43;5016;0;3;44;0;
202;14;10/7/22;2:41;8;14;159;69;63138;585;0;2:56;0;0;0;798;29220;798;3:11;64;173;OIA;64;179;4840;0;4:1;5104;0;4;2;0;
