TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;15;29/5/22;22:42;67;15;3;38;64621;417;4072;23:0;21;1083;39;261;18094;300;23:16;0;0;DIL;0;0;6072;0;0:9;6072;0;0;9;0;0;
202;15;29/5/22;22:42;67;15;3;38;64621;417;4072;23:0;21;1083;39;261;18094;300;23:16;0;0;DIL;0;0;6072;0;0:9;6072;0;0;9;0;0;
202;15;29/5/22;23:2;68;15;3;38;64511;418;4129;23:19;21;1087;39;267;18064;300;23:36;0;0;DIL;0;0;5940;0;0:29;5984;0;0;28;0;0;
202;15;29/5/22;23:21;69;15;3;38;64640;419;4008;23:39;21;1085;39;260;18104;300;23:55;0;0;DIL;0;0;5984;0;0:48;5984;0;0;48;0;0;
202;15;29/5/22;23:21;69;15;3;38;64640;419;4008;23:39;21;1085;39;260;18104;300;23:55;0;0;DIL;0;0;5984;0;0:48;5984;0;0;48;0;0;
202;15;30/5/22;0:0;1;15;3;38;64625;417;4007;0:17;21;1081;39;254;18104;314;0:34;0;0;DIL;0;0;5984;0;1:27;5984;0;1;27;0;0;
202;15;30/5/22;0:0;1;15;3;38;64625;417;4007;0:17;21;1081;39;254;18104;314;0:34;0;0;DIL;0;0;5984;0;1:27;5984;0;1;27;0;0;
202;15;30/5/22;0:19;2;15;3;38;64458;413;4061;0:37;21;1077;39;223;18054;300;0:54;0;0;DIL;0;0;5940;0;1:46;5984;0;1;46;0;0;
202;15;30/5/22;0:39;3;15;3;38;64623;414;4136;0:56;20;1086;40;223;18094;300;1:13;0;0;DIL;0;0;5896;0;2:5;5896;0;2;5;0;0;
202;15;30/5/22;0:58;4;15;3;38;64552;411;3938;1:16;21;1079;39;218;18074;300;1:32;0;0;DIL;0;0;5940;0;2:28;5984;0;2;28;0;0;
