TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;15;14/6/22;22:10;48;15;3;38;64921;413;3961;22:28;42;2256;78;177;18184;205;22:45;0;0;DIL;0;0;6292;0;23:53;6292;0;23;53;0;0;
202;15;14/6/22;22:10;48;15;3;38;64921;413;3961;22:28;42;2256;78;177;18184;205;22:45;0;0;DIL;0;0;6292;0;23:53;6292;0;23;53;0;0;
202;15;14/6/22;22:30;49;15;3;38;64864;416;3957;22:48;42;2251;78;175;18164;224;23:5;0;0;DIL;0;0;6204;44;0:13;6292;44;0;13;0;0;
202;15;14/6/22;22:30;49;15;3;38;64864;416;3957;22:48;42;2251;78;175;18164;224;23:5;0;0;DIL;0;0;6204;44;0:13;6292;44;0;13;0;0;
202;15;14/6/22;22:49;50;15;3;38;64954;406;4028;23:8;41;2255;79;207;18195;217;23:38;0;0;DIL;0;0;5984;65492;0:33;6028;0;0;33;0;0;
202;15;14/6/22;23:10;51;15;3;38;64913;408;4025;23:41;42;2256;78;219;18184;237;23:59;0;0;DIL;0;0;6072;0;0:52;6116;0;0;52;0;0;
202;15;15/6/22;0:4;1;15;3;38;64732;404;4014;0:22;42;2245;78;255;18124;255;0:38;0;0;DIL;0;0;6248;0;1:41;6248;0;1;41;0;0;
202;15;15/6/22;0:4;1;15;3;38;64732;404;4014;0:22;42;2245;78;255;18124;255;0:38;0;0;DIL;0;0;6248;0;1:41;6248;0;1;41;0;0;
202;15;15/6/22;0:23;2;15;3;38;65042;402;3968;0:41;42;2258;78;262;18215;262;0:58;0;0;DIL;0;0;5632;0;2:4;5632;0;2;4;0;0;
202;15;15/6/22;0:23;2;15;3;38;65042;402;3968;0:41;42;2258;78;262;18215;262;0:58;0;0;DIL;0;0;5632;0;2:4;5632;0;2;4;0;0;
